Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_G,SEXE
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,345,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,397,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,68,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,79,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,160,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,272,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,376,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,345,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,80,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,85,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,227,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,415,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,936,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,898,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,110,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,112,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,494,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,790,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,799,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,805,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,118,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,151,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,323,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,588,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,659,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,674,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,155,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,151,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,241,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,578,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,369,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,368,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,111,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,125,2,2
