Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_REGIO,SEXE
2025-01-01,1,Ciutat Vella,1,el Raval,20,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,31,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,12,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,15,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,695,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,1703,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,8,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,72,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,173,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,147,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,176,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,263,7,1
2025-01-01,1,Ciutat Vella,1,el Raval,264,7,2
2025-01-01,1,Ciutat Vella,1,el Raval,1743,8,1
2025-01-01,1,Ciutat Vella,1,el Raval,1745,8,2
2025-01-01,1,Ciutat Vella,1,el Raval,201,9,1
2025-01-01,1,Ciutat Vella,1,el Raval,235,9,2
2025-01-01,1,Ciutat Vella,1,el Raval,18,10,1
2025-01-01,1,Ciutat Vella,1,el Raval,15,10,2
2025-01-01,1,Ciutat Vella,1,el Raval,266,11,1
2025-01-01,1,Ciutat Vella,1,el Raval,208,11,2
2025-01-01,1,Ciutat Vella,1,el Raval,2740,12,1
2025-01-01,1,Ciutat Vella,1,el Raval,5028,12,2
2025-01-01,1,Ciutat Vella,1,el Raval,2224,13,1
2025-01-01,1,Ciutat Vella,1,el Raval,1677,13,2
2025-01-01,1,Ciutat Vella,1,el Raval,184,14,1
2025-01-01,1,Ciutat Vella,1,el Raval,240,14,2
2025-01-01,1,Ciutat Vella,1,el Raval,702,15,1
2025-01-01,1,Ciutat Vella,1,el Raval,493,15,2
2025-01-01,1,Ciutat Vella,1,el Raval,431,16,1
2025-01-01,1,Ciutat Vella,1,el Raval,488,16,2
2025-01-01,1,Ciutat Vella,1,el Raval,12728,17,1
2025-01-01,1,Ciutat Vella,1,el Raval,13133,17,2
2025-01-01,1,Ciutat Vella,1,el Raval,853,18,1
2025-01-01,1,Ciutat Vella,1,el Raval,918,18,2
2025-01-01,1,Ciutat Vella,1,el Raval,21,19,1
2025-01-01,1,Ciutat Vella,1,el Raval,22,19,2
2025-01-01,1,Ciutat Vella,1,el Raval,12,23,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,23,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,8,1,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,15,1,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,8,2,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,2,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,419,3,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,1654,3,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,5,4,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,4,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,36,5,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,252,5,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,51,6,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,79,6,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,277,7,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,184,7,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,1223,8,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,1226,8,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,213,9,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,183,9,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,15,10,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,10,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,89,11,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,71,11,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,661,12,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,7089,12,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,223,13,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,151,13,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,144,14,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,155,14,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,462,15,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,368,15,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,364,16,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,403,16,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,5091,17,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,5392,17,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,637,18,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,631,18,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,31,19,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,32,19,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,23,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,5,23,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,5,1,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,..,1,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,..,2,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,..,2,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,147,3,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,348,3,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,..,4,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,..,4,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,7,5,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,28,5,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,26,6,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,38,6,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,117,7,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,90,7,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,714,8,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,622,8,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,86,9,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,76,9,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,9,10,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,31,11,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,34,11,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,138,12,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,419,12,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,26,13,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,16,13,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,75,14,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,69,14,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,410,15,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,259,15,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,221,16,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,233,16,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,4922,17,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,4695,17,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,448,18,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,396,18,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,12,19,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,18,19,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,..,23,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,..,23,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",7,1,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",..,1,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",..,2,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",..,2,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",214,3,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",504,3,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",7,4,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",10,4,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",30,5,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",76,5,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",87,6,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",89,6,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",181,7,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",128,7,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",898,8,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",853,8,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",284,9,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",229,9,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",12,10,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",7,10,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",175,11,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",126,11,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",213,12,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",444,12,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",175,13,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",133,13,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",148,14,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",148,14,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",552,15,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",343,15,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",504,16,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",525,16,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",7084,17,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",6779,17,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",868,18,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",846,18,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",28,19,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",41,19,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",..,23,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",5,23,2
2025-01-01,2,Eixample,5,el Fort Pienc,6,1,1
2025-01-01,2,Eixample,5,el Fort Pienc,11,1,2
2025-01-01,2,Eixample,5,el Fort Pienc,..,2,1
2025-01-01,2,Eixample,5,el Fort Pienc,6,2,2
2025-01-01,2,Eixample,5,el Fort Pienc,134,3,1
2025-01-01,2,Eixample,5,el Fort Pienc,750,3,2
2025-01-01,2,Eixample,5,el Fort Pienc,12,4,1
2025-01-01,2,Eixample,5,el Fort Pienc,8,4,2
2025-01-01,2,Eixample,5,el Fort Pienc,20,5,1
2025-01-01,2,Eixample,5,el Fort Pienc,92,5,2
2025-01-01,2,Eixample,5,el Fort Pienc,51,6,1
2025-01-01,2,Eixample,5,el Fort Pienc,63,6,2
2025-01-01,2,Eixample,5,el Fort Pienc,402,7,1
2025-01-01,2,Eixample,5,el Fort Pienc,206,7,2
2025-01-01,2,Eixample,5,el Fort Pienc,1912,8,1
2025-01-01,2,Eixample,5,el Fort Pienc,1621,8,2
2025-01-01,2,Eixample,5,el Fort Pienc,112,9,1
2025-01-01,2,Eixample,5,el Fort Pienc,106,9,2
2025-01-01,2,Eixample,5,el Fort Pienc,8,10,1
2025-01-01,2,Eixample,5,el Fort Pienc,8,10,2
2025-01-01,2,Eixample,5,el Fort Pienc,671,11,1
2025-01-01,2,Eixample,5,el Fort Pienc,621,11,2
2025-01-01,2,Eixample,5,el Fort Pienc,177,12,1
2025-01-01,2,Eixample,5,el Fort Pienc,919,12,2
2025-01-01,2,Eixample,5,el Fort Pienc,63,13,1
2025-01-01,2,Eixample,5,el Fort Pienc,54,13,2
2025-01-01,2,Eixample,5,el Fort Pienc,122,14,1
2025-01-01,2,Eixample,5,el Fort Pienc,112,14,2
2025-01-01,2,Eixample,5,el Fort Pienc,511,15,1
2025-01-01,2,Eixample,5,el Fort Pienc,399,15,2
2025-01-01,2,Eixample,5,el Fort Pienc,231,16,1
2025-01-01,2,Eixample,5,el Fort Pienc,249,16,2
2025-01-01,2,Eixample,5,el Fort Pienc,13613,17,1
2025-01-01,2,Eixample,5,el Fort Pienc,12137,17,2
2025-01-01,2,Eixample,5,el Fort Pienc,553,18,1
2025-01-01,2,Eixample,5,el Fort Pienc,620,18,2
2025-01-01,2,Eixample,5,el Fort Pienc,12,19,1
2025-01-01,2,Eixample,5,el Fort Pienc,15,19,2
2025-01-01,2,Eixample,5,el Fort Pienc,7,23,1
2025-01-01,2,Eixample,5,el Fort Pienc,..,23,2
2025-01-01,2,Eixample,6,la Sagrada Família,9,1,1
2025-01-01,2,Eixample,6,la Sagrada Família,7,1,2
2025-01-01,2,Eixample,6,la Sagrada Família,..,2,1
2025-01-01,2,Eixample,6,la Sagrada Família,6,2,2
2025-01-01,2,Eixample,6,la Sagrada Família,182,3,1
2025-01-01,2,Eixample,6,la Sagrada Família,323,3,2
2025-01-01,2,Eixample,6,la Sagrada Família,6,4,1
2025-01-01,2,Eixample,6,la Sagrada Família,..,4,2
2025-01-01,2,Eixample,6,la Sagrada Família,28,5,1
2025-01-01,2,Eixample,6,la Sagrada Família,55,5,2
2025-01-01,2,Eixample,6,la Sagrada Família,113,6,1
2025-01-01,2,Eixample,6,la Sagrada Família,126,6,2
2025-01-01,2,Eixample,6,la Sagrada Família,460,7,1
2025-01-01,2,Eixample,6,la Sagrada Família,280,7,2
2025-01-01,2,Eixample,6,la Sagrada Família,2528,8,1
2025-01-01,2,Eixample,6,la Sagrada Família,2115,8,2
2025-01-01,2,Eixample,6,la Sagrada Família,166,9,1
2025-01-01,2,Eixample,6,la Sagrada Família,155,9,2
2025-01-01,2,Eixample,6,la Sagrada Família,19,10,1
2025-01-01,2,Eixample,6,la Sagrada Família,11,10,2
2025-01-01,2,Eixample,6,la Sagrada Família,736,11,1
2025-01-01,2,Eixample,6,la Sagrada Família,651,11,2
2025-01-01,2,Eixample,6,la Sagrada Família,271,12,1
2025-01-01,2,Eixample,6,la Sagrada Família,449,12,2
2025-01-01,2,Eixample,6,la Sagrada Família,109,13,1
2025-01-01,2,Eixample,6,la Sagrada Família,85,13,2
2025-01-01,2,Eixample,6,la Sagrada Família,179,14,1
2025-01-01,2,Eixample,6,la Sagrada Família,204,14,2
2025-01-01,2,Eixample,6,la Sagrada Família,757,15,1
2025-01-01,2,Eixample,6,la Sagrada Família,485,15,2
2025-01-01,2,Eixample,6,la Sagrada Família,271,16,1
2025-01-01,2,Eixample,6,la Sagrada Família,300,16,2
2025-01-01,2,Eixample,6,la Sagrada Família,22380,17,1
2025-01-01,2,Eixample,6,la Sagrada Família,18821,17,2
2025-01-01,2,Eixample,6,la Sagrada Família,623,18,1
2025-01-01,2,Eixample,6,la Sagrada Família,612,18,2
2025-01-01,2,Eixample,6,la Sagrada Família,6,19,1
2025-01-01,2,Eixample,6,la Sagrada Família,11,19,2
2025-01-01,2,Eixample,6,la Sagrada Família,9,23,1
2025-01-01,2,Eixample,6,la Sagrada Família,..,23,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,6,1,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,7,1,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,5,2,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,5,2,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,178,3,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,317,3,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,10,4,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,8,4,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,22,5,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,57,5,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,55,6,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,43,6,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,276,7,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,196,7,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,1434,8,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,1097,8,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,464,9,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,498,9,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,31,10,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,23,10,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,448,11,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,350,11,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,155,12,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,260,12,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,127,13,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,62,13,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,281,14,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,285,14,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,898,15,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,544,15,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,476,16,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,565,16,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,18130,17,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,15726,17,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,1214,18,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,1297,18,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,35,19,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,65,19,2
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,13,23,1
2025-01-01,2,Eixample,7,la Dreta de l'Eixample,..,23,2
2025-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,12,1,1
2025-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,15,1,2
2025-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,7,2,1
2025-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,9,2,2
