Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_G,SEXE
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,315,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,357,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,68,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,65,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,223,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,218,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,271,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,264,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,80,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,92,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,237,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,294,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,898,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,991,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,100,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,115,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,556,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,744,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,726,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,760,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,132,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,190,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,472,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,597,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,609,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,598,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,151,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,135,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,323,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,477,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,335,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,355,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,110,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,102,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,288,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,389,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,397,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,492,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,94,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,96,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,304,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,528,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,628,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,723,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,92,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,141,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,605,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,902,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,538,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,556,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,77,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,101,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,375,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,487,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,482,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,526,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,75,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,91,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,489,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,632,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,..,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,..,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,635,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,717,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,132,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,135,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,643,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,790,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,..,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,497,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,470,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,87,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,92,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,352,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,376,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,..,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,424,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,384,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,45,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,47,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,254,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,299,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,476,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,484,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,67,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,75,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,303,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,429,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,545,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,521,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,93,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,110,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,508,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,500,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,..,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,..,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,504,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,443,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,79,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,87,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,453,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,467,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,567,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,552,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,112,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,101,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,555,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,611,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,422,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,395,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,83,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,66,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,248,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,310,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,608,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,606,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,143,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,167,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,495,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,649,3,2
