codi_barri,total_incidents,locals_restauracio,locals_sanitaris,locals_serveis_professionals
1,674,544,7,33
2,625,517,4,5
3,615,218,8,6
4,592,374,8,22
5,564,174,16,55
6,562,357,36,85
7,691,752,64,62
8,588,678,63,59
9,573,407,54,83
10,582,354,28,63
11,687,322,21,51
12,476,7,0,1
13,498,93,27,14
14,348,34,11,8
15,480,91,11,11
16,478,58,8,24
17,413,56,13,32
18,580,195,24,41
19,568,326,79,68
20,495,109,27,28
21,449,36,6,0
22,378,14,1,1
23,533,80,24,23
24,386,55,59,9
25,484,132,64,29
26,578,431,105,74
27,468,122,27,48
28,461,39,17,14
29,301,14,2,2
30,423,47,20,19
31,612,527,84,97
32,489,149,44,63
33,427,113,23,51
34,324,17,1,13
35,492,142,29,82
36,318,15,2,5
37,496,85,8,29
38,313,28,2,14
39,342,15,2,1
40,333,13,4,2
41,383,11,1,1
42,157,2,0,0
43,507,112,15,23
44,440,117,22,37
45,448,95,13,36
46,370,46,9,13
47,169,2,1,0
48,417,50,11,10
49,320,20,1,5
50,404,46,3,13
51,346,63,6,17
52,442,127,19,49
53,364,9,0,0
54,260,1,0,0
55,327,15,1,6
56,162,2,0,0
57,430,23,1,4
58,200,6,0,0
59,485,47,5,14
60,589,229,71,65
61,508,105,29,27
62,389,77,12,34
63,431,79,10,36
64,500,194,23,76
65,516,132,9,26
66,515,136,5,65
67,493,51,5,9
68,575,273,24,59
69,505,72,7,6
70,501,71,5,10
71,477,88,13,35
72,470,98,19,21
73,441,113,12,23
