codi_barri,total_incidents,locals_restauracio,locals_sanitaris,locals_serveis_professionals
1,561,500,8,10
2,508,440,6,2
3,491,177,15,5
4,498,387,13,2
5,479,200,23,33
6,501,396,58,44
7,562,912,105,55
8,494,708,109,52
9,514,406,98,79
10,510,405,51,40
11,578,279,17,38
12,450,11,0,21
13,432,105,30,11
14,299,34,4,8
15,406,152,28,16
16,383,65,11,20
17,379,105,25,20
18,477,266,55,42
19,487,340,109,43
20,468,117,36,17
21,404,45,7,3
22,325,11,3,1
23,465,88,57,19
24,345,53,90,4
25,455,144,96,19
26,474,425,135,34
27,433,126,53,17
28,436,42,22,19
29,277,7,2,3
30,374,43,17,10
31,507,501,101,45
32,428,134,59,55
33,397,97,23,44
34,331,19,1,8
35,426,119,29,47
36,310,11,4,3
37,429,76,17,24
38,304,24,4,6
39,335,14,6,6
40,348,15,9,2
41,354,12,3,3
42,162,1,0,0
43,450,107,26,24
44,435,115,32,51
45,417,104,22,38
46,337,52,13,6
47,191,1,2,0
48,382,51,15,9
49,308,19,2,7
50,362,45,7,11
51,338,48,8,12
52,417,119,26,36
53,314,13,3,0
54,298,3,3,0
55,322,17,4,3
56,217,3,0,2
57,402,27,3,7
58,237,9,2,0
59,427,102,5,54
60,496,232,92,63
61,464,106,26,19
62,364,83,21,26
63,357,92,16,32
64,412,190,44,52
65,420,138,18,30
66,467,172,11,27
67,409,92,15,7
68,481,270,46,41
69,436,123,11,5
70,438,82,13,8
71,416,90,19,29
72,407,100,27,23
73,423,105,22,53
