codi_barri,poblacio_total,pct_pob_estrangera,pct_pob_estrangera_occidental,pct_pob_espanyola,pct_joves,pct_universitaris
1,47150,0.4804241781548251,0.095949098621421,0.5195758218451749,0.38203605514316014,0.1849628844114528
2,15514,0.41942761376820936,0.20903699883975763,0.5805723862317906,0.41066133814619055,0.33356967899961326
3,15037,0.312961361973798,0.15116047083859813,0.687038638026202,0.3592471902640154,0.21473698211079337
4,22468,0.39273633612248526,0.1946323660316895,0.6072636638775147,0.3855705892825352,0.32339327042905464
5,31548,0.19433878534296944,0.07645492582731077,0.8056612146570306,0.2797958666159503,0.31396602003296564
6,51094,0.17025482444122597,0.05605354836184288,0.829745175558774,0.27406349082084003,0.29907621247113164
7,43558,0.1929151935350567,0.10436659167087561,0.8070848064649433,0.2701455530556959,0.42072638780476607
8,41662,0.1868609284239835,0.0838413902357064,0.8131390715760165,0.2830156977581489,0.3914118381258701
9,57664,0.16408851276359604,0.05545921198668147,0.835911487236404,0.27330743618201997,0.34520671476137627
10,38031,0.19615576766322207,0.07165207330861666,0.8038442323367779,0.27848334253635193,0.2931555836028503
11,40222,0.2913828253194769,0.08100044751628462,0.7086171746805231,0.31761225200139226,0.20095967381035254
12,1122,0.08734402852049916,0.011586452762923352,0.9126559714795008,0.29233511586452765,0.04723707664884135
13,30237,0.1298078513080001,0.02364652577967391,0.8701921486919999,0.23914409498296788,0.11525614313589311
14,10371,0.18387812168546913,0.062289075306142125,0.8161218783145309,0.2769260437759136,0.2433709381930383
15,15758,0.20383297372763043,0.05831958370351568,0.7961670262723696,0.2983881203198375,0.237466683589288
16,18384,0.12086597040905134,0.027959094865100086,0.8791340295909487,0.24961923411662315,0.18586814621409922
17,24016,0.15972684876748833,0.031270819453697536,0.8402731512325117,0.2647818121252498,0.2021568954030646
18,40703,0.16055327617128956,0.04407537527946343,0.8394467238287104,0.2705206004471415,0.2570817875832248
19,46003,0.10318892246157862,0.036084603178053606,0.8968110775384214,0.2357020194335152,0.350651044497098
20,23810,0.10466190676186471,0.029567408651826964,0.8953380932381353,0.2372112557748845,0.3152036959260815
21,11716,0.14945373847729604,0.08134175486514168,0.850546261522704,0.20834755889382042,0.4199385455786958
22,4604,0.13205907906168546,0.09079061685490877,0.8679409209383145,0.20438748913987836,0.32406602953953084
23,24640,0.11659902597402594,0.07179383116883117,0.8834009740259741,0.21314935064935064,0.3951704545454545
24,16501,0.10247863765832377,0.05842070177564996,0.8975213623416762,0.21786558390400582,0.41373250106054177
25,25368,0.10146641438032167,0.04434720908230842,0.8985335856196783,0.21814884894355094,0.39317250078839483
26,46711,0.10948170666438317,0.05330650168054634,0.8905182933356168,0.22185352486566334,0.4170537988910535
27,29024,0.12344955898566701,0.06022601984564498,0.876550441014333,0.24910418963616318,0.4019432194046306
28,15520,0.12358247422680413,0.053994845360824745,0.8764175257731959,0.24001288659793815,0.3219716494845361
29,7351,0.14011699088559382,0.05659094000816216,0.8598830091144062,0.2624132771051558,0.24023942320772684
30,13220,0.12155824508320723,0.05733736762481089,0.8784417549167928,0.2544629349470499,0.3314674735249622
31,50441,0.18720881822327073,0.0988878095200333,0.8127911817767293,0.3094902955928709,0.3617890208362245
32,33913,0.12086810367705603,0.05124878365228673,0.879131896322944,0.254533659658538,0.3312593990505116
33,25474,0.1275025516212609,0.0418858443903588,0.8724974483787391,0.25210018057627387,0.25838109444924234
34,8824,0.13111967361740706,0.04317769718948323,0.8688803263825929,0.24637352674524024,0.21373526745240254
35,35784,0.12902414486921532,0.03479208584842387,0.8709758551307847,0.25178850883076237,0.23549631120053655
36,9399,0.05447388020002131,0.02074688796680498,0.9455261197999787,0.20725609107351847,0.24800510692626876
37,31449,0.12436007504213176,0.024833857992305003,0.8756399249578682,0.25460269006963654,0.09580590797799612
38,11360,0.12033450704225357,0.03001760563380282,0.8796654929577464,0.2501760563380282,0.12632042253521128
39,6721,0.1053414670435947,0.02321083172147002,0.8946585329564053,0.21470019342359767,0.15206070525219462
40,5041,0.10236064272961709,0.021027573894068636,0.8976393572703829,0.19301725848046022,0.19262051180321366
41,5467,0.08194622279129327,0.02652277300164624,0.9180537772087067,0.1957197731845619,0.24236327053228462
42,542,0.16605166051660514,0.01845018450184502,0.8339483394833949,0.36900369003690037,0.2177121771217712
43,26469,0.09966375760323398,0.025312629868903244,0.900336242396766,0.22611356681400885,0.18296875590313197
44,25444,0.12116805533721109,0.020319132211916367,0.8788319446627889,0.23699103914478856,0.1801210501493476
45,24299,0.13391497592493518,0.01609119716860776,0.8660850240750648,0.23795217910202066,0.13514959463352402
46,15328,0.20243997912317324,0.0161143006263048,0.7975600208768268,0.25032620041753656,0.10705897703549061
47,2275,0.0712087912087912,0.016263736263736263,0.9287912087912088,0.2413186813186813,0.07208791208791208
48,15097,0.07047757832681989,0.015036099887394846,0.9295224216731801,0.2034178975955488,0.14744651255216268
49,6952,0.04013233601841193,0.009781357882623706,0.9598676639815881,0.20900460299194476,0.09781357882623705
50,15400,0.19045454545454543,0.02538961038961039,0.8095454545454546,0.2820779220779221,0.0633116883116883
51,12226,0.16890233927695075,0.019139538688041878,0.8310976607230492,0.25568460657614916,0.08686406019957468
52,25974,0.13009163009163005,0.014322014322014322,0.86990836990837,0.2415877415877416,0.09297759297759298
