codi_barri,import_euros,index_gini
1,11917.47619047619,33.7952380952381
2,16013.222222222223,39.266666666666666
3,15359.818181818182,32.809090909090905
4,16621.153846153848,36.76923076923077
5,20418.8,31.889999999999997
6,19505.41176470588,32.73823529411764
7,26054.58620689655,36.83793103448276
8,24315.346153846152,35.753846153846155
9,22170.15,32.69
10,19782.916666666668,32.69166666666667
11,15420.75,32.55416666666667
12,14121.0,31.3
13,14844.411764705883,28.041176470588233
14,18431.14285714286,30.085714285714285
15,17482.9,32.28
16,17590.615384615383,29.13076923076923
17,16971.3125,30.9125
18,19140.51724137931,31.324137931034482
19,24792.314285714285,32.58
20,22158.933333333334,31.333333333333332
21,33520.28571428572,41.385714285714286
22,25698.666666666668,36.9
23,30462.0,38.487500000000004
24,35403.0,40.345454545454544
25,31431.333333333332,38.36666666666667
26,31548.451612903227,39.89677419354839
27,25713.736842105263,34.62105263157895
28,23054.454545454544,33.49090909090909
29,17737.2,32.28
30,21889.7,31.65
31,20979.11111111111,33.141666666666666
32,21552.92,30.676
33,19025.842105263157,30.015789473684208
34,17738.285714285714,31.285714285714285
35,18201.92,30.932
36,22027.714285714286,30.728571428571428
37,13589.181818181818,28.218181818181815
38,15072.375,29.6375
39,15405.2,28.939999999999998
40,17190.25,29.2
41,19685.5,26.799999999999997
42,17668.0,26.6
43,17956.238095238095,29.24761904761905
44,16822.21052631579,29.23157894736842
45,15134.666666666666,28.78888888888889
46,13031.6,29.18
47,12107.5,28.549999999999997
48,16811.18181818182,25.263636363636362
49,16301.2,24.759999999999998
50,11644.8,28.68
51,12546.625,29.075
52,14001.45,27.85
53,11380.8,28.46
54,11028.5,28.85
55,9898.833333333334,28.099999999999998
56,11362.0,28.7
57,11399.4,30.660000000000004
58,11390.5,27.85
59,13945.142857142857,27.571428571428573
60,18558.897435897437,27.58205128205128
61,17258.35,28.47
62,17289.666666666668,29.633333333333333
63,17775.53846153846,28.584615384615386
64,18556.48,30.548
65,18433.647058823528,29.04705882352941
66,20066.0,31.733333333333334
67,27578.8,32.94
68,20106.55,31.855
69,21617.571428571428,32.05714285714286
70,12673.692307692309,29.54615384615385
71,17250.75,29.099999999999998
72,16418.777777777777,27.038888888888888
73,15189.333333333334,27.314285714285717
