codi_barri,preu_mitja_m2,pisos_turistics
1,15.9,212.0
2,16.4,201.0
3,19.0,64.0
4,17.4,171.0
5,16.1,333.0
6,16.7,750.0
7,16.6,1.655
8,16.8,678.0
9,16.7,484.0
10,15.9,567.0
11,16.0,513.0
12,13.4,3.0
13,12.6,6.0
14,15.8,131.0
15,15.8,177.0
16,21.1,30.0
17,15.7,97.0
18,15.8,238.0
19,17.1,211.0
20,15.8,48.0
21,17.5,11.0
22,14.1,3.0
23,19.5,27.0
24,19.4,34.0
25,17.8,68.0
26,18.4,291.0
27,17.3,198.0
28,16.8,39.0
29,14.4,20.0
30,15.3,37.0
31,17.5,762.0
32,16.7,223.0
33,15.5,81.0
34,15.0,20.0
35,14.9,74.0
36,15.5,4.0
37,13.5,32.0
38,14.6,5.0
39,12.0,3.0
40,13.8,
41,15.0,1.0
42,15.5,
43,13.9,6.0
44,13.7,17.0
45,13.5,12.0
46,12.6,1.0
47,12.5,
48,12.2,1.0
49,10.8,1.0
50,13.6,2.0
51,14.5,3.0
52,13.9,3.0
53,13.5,
54,7.7,
55,10.4,
56,8.0,
57,12.5,5.0
58,9.2,
59,10.9,1.0
60,14.0,33.0
61,14.5,22.0
62,14.0,6.0
63,14.5,22.0
64,15.8,292.0
65,15.4,49.0
66,17.3,100.0
67,20.4,105.0
68,17.8,422.0
69,18.8,125.0
70,12.5,32.0
71,16.3,33.0
72,13.5,14.0
73,16.3,9.0
