codi_barri,poblacio_total,espanya,no_consta_x,resta_de_la_uni_europea,resta_del_mn,amrica_central,amrica_del_nord,amrica_del_sud,austrlia_i_nova_zelanda,carib,europa_meridional,europa_occidental,europa_oriental,europa_septentrional,no_consta_y,frica_central,frica_meridional,frica_occidental,frica_oriental,frica_septentrional,sia_central,sia_meridional,sia_occidental,sia_oriental,sia_sudoriental,estudis_superiors_espanya,estudis_superiors_ue,estudis_superiors_mon,estudis_inferiors_espanya,estudis_inferiors_ue,estudis_inferiors_mon,joves_espanya,joves_no_consta,joves_resta_de_la_uni_europea,joves_resta_del_mn,joves_total,pct_pob_estrangera,pct_pob_estrangera_occidental,pct_pob_espanyola,pct_joves,pct_universitaris
22,4604,3996,0,391,217,12,27,86,4,8,4098,178,67,90,0,0,0,4,8,8,0,8,16,8,4,1098,179,215,395,10,30,755,0,109,162,1026,0.13205907906168546,0.09079061685490877,0.8679409209383145,0.22284969591659426,0.32406602953953084
23,24640,21767,16,1609,1260,97,160,309,8,23,22305,831,220,206,8,8,8,14,9,63,8,43,43,262,34,7938,750,1049,1419,65,181,4288,16,408,902,5614,0.11659902597402594,0.07179383116883117,0.8834009740259741,0.2278409090909091,0.3951704545454545
24,16501,14810,0,623,1068,72,341,236,9,14,15031,323,97,90,0,8,0,8,4,30,4,26,28,141,49,5811,299,717,554,21,127,2936,0,145,735,3816,0.10247863765832377,0.05842070177564996,0.8975213623416762,0.23125871159323677,0.41373250106054177
25,25368,22794,20,1027,1541,133,98,522,4,25,23161,468,257,141,8,8,0,24,8,116,15,122,46,155,65,8358,493,1123,1241,49,354,4426,12,305,1134,5877,0.10146641438032167,0.04434720908230842,0.8985335856196783,0.23166982024597918,0.39317250078839483
26,46711,41597,4,2220,2893,273,270,950,12,78,42456,1010,396,348,4,9,8,17,10,135,19,170,131,246,173,15820,1173,2488,2038,65,530,7946,12,782,2310,11050,0.10948170666438317,0.05330650168054634,0.8905182933356168,0.23656098135342854,0.4170537988910535
27,29024,25441,28,1634,1942,153,114,815,8,46,26116,628,328,222,9,8,8,40,4,135,10,95,58,203,37,8957,839,1870,1559,47,311,5189,20,661,1860,7730,0.12344955898566701,0.06022601984564498,0.876550441014333,0.2663313120176406,0.4019432194046306
28,15520,13602,8,809,1107,78,29,505,8,41,13890,273,257,152,4,0,0,10,0,51,4,92,24,97,10,3831,401,765,1638,44,248,2653,4,385,937,3979,0.12358247422680413,0.053994845360824745,0.8764175257731959,0.2563788659793814,0.3219716494845361
29,7351,6321,0,404,626,65,12,285,4,13,6463,133,144,53,0,8,0,9,4,71,0,58,20,15,10,1239,174,353,1104,30,161,1368,0,179,499,2046,0.14011699088559382,0.05659094000816216,0.8598830091144062,0.27832947898245136,0.24023942320772684
30,13220,11613,0,729,878,88,29,317,8,33,11970,207,146,101,0,4,8,21,4,102,10,71,30,73,13,3408,355,619,1408,36,220,2448,0,366,773,3587,0.12155824508320723,0.05733736762481089,0.8784417549167928,0.27133131618759454,0.3314674735249622
31,50441,40998,52,4683,4746,412,305,1818,29,115,43070,1574,595,813,14,14,8,83,8,283,17,538,224,448,80,11942,2672,3635,5940,126,1058,9800,32,2711,4534,17077,0.18720881822327073,0.0988878095200333,0.8127911817767293,0.33855395412462086,0.3617890208362245
