codi_barri,delta_pct_pob_estrangera,delta_pct_pob_estrangera_occidental,delta_pct_joves,delta_pct_universitaris,delta_poblacio_total,delta_import_euros,delta_index_gini,delta_total_incidents_1000_hab,delta_locals_restauracio_1000_hab,delta_locals_sanitaris_1000_hab,delta_locals_serveis_professionals_1000_hab,delta_preu_mitja_m2,delta_pisos_turistics_1000_hab,cluster
1,0.0607775328890006,0.109059507431975,-0.0322964812433528,0.307615104536456,-0.0313679745493107,0.4007690413289752,-0.0699777224479098,0.1457315633871385,-0.0511178415444478,0.1798671867424467,-0.6871564277576846,0.4324324324324325,0.2159186841151325,2
2,0.5668863935574256,-0.2984610919953637,0.175892478376042,-0.1658408364637524,0.5766404537836792,0.3988469042095764,-0.0443159922928708,-0.2896287816843826,-0.4602042414015064,-0.0486099754701551,-0.7462959934587081,0.4642857142857142,-0.3071398734402218,0
3,0.3453585914100219,0.2735992656080934,0.0943755954009158,0.4214612408312941,-0.0507415042894194,0.4197316124261598,-0.0613784135240573,0.1151194223165433,-0.1446728060128572,0.9752259352669188,-0.1221218065480361,0.165644171779141,-0.0228834020708574,2
4,0.1872275820924353,0.0895379235917246,0.0415064021569613,0.2563288048386367,-0.0190048068363895,0.4219483143257633,-0.0694958146778276,0.164013748333879,0.0548057375814202,0.6564811033982123,-0.9073297284812188,0.3700787401574802,0.0193729867065922,2
5,0.6525978148050142,0.3671554444734153,0.0974717993022837,0.2038284406451,0.0904970204133384,0.3223326749344299,-0.062610229276896,0.0373303664141116,0.0540379898705707,0.3182062610818822,-0.4497921692875621,0.4770642201834863,-0.1097220231912448,0
6,0.5338103617236077,0.5628012764723576,0.0885523868464209,0.2729999713291792,0.0120953536618781,0.2703554859150341,-0.0384416033172081,0.1638586609439414,0.0959873429569847,0.5918570372662266,-0.4885392399534071,0.5045045045045045,-0.0667041603798288,0
7,0.5296423992689004,0.3866776544574542,0.1181152324735127,0.183058715545457,0.0125579686854309,0.3131324892901521,-0.0320739331340038,0.0519131181329388,0.197724964844532,0.6202776045799794,-0.1239051969091355,0.4690265486725664,-0.0644108055872029,0
8,0.5210631346786904,0.3634448947149621,0.1138000644664096,0.2096874805692878,0.0261389275598867,0.337806096105501,-0.0435229961930239,0.1220318353534951,0.0176475714587639,0.6860862439679307,-0.1410949253243754,0.4736842105263158,-0.0911564702895371,0
9,0.3828104274485224,0.3743269315481109,0.0348024290099284,0.2275143019370814,-0.0013873473917869,0.2924393972737701,-0.060699662380576,0.1534326725428382,-0.0010711411100408,0.8173360913010819,-0.0468704492881222,0.4778761061946901,0.1324121705665903,0
10,0.3483981147425623,0.28480366771102,0.0462467413452035,0.282404281444175,0.0062580526412663,0.3112196145794786,-0.0742182890855456,0.1337981025798654,0.1369526868452626,0.8101008649298387,-0.3690280209394898,0.4454545454545455,-0.0079687471821967,2
11,0.1889291841878606,0.3801181813424046,-0.0188021307060053,0.408348726743164,-0.0359007508328775,0.397118168674335,-0.0581072935503315,0.1066887443419762,-0.1012754878943014,-0.1603314594185707,-0.2271562913679577,0.4414414414414415,-0.0254525762030016,2
12,0.9854905013256784,3.4233978179151,-0.0345850464035569,2.179256527312389,0.4955436720142602,0.5684771742752416,0.0,-0.249872296952154,0.0507406776775071,0.0,13.041716328963052,1.0303030303030305,-0.3313468414779499,1
13,0.4064930526854153,0.2879842370725177,-0.0294723488774181,0.37227186442311,0.0066144128055031,0.29606232891135,-0.0663924794359576,0.1410470214794848,0.1216134437394216,0.1038100557435577,-0.2194486034384841,0.4999999999999999,-0.0065709498307979,0
14,0.3794093706729525,0.0719096938909411,0.0052232016126902,0.2500237363184087,0.0123421078005978,0.3186900795192053,-0.078740157480315,0.2120522151534956,-0.0121916372987903,-0.640796959017742,-0.0121916372987903,0.3982300884955752,0.7486877772143036,0
15,0.3437751864661191,0.3711935482178438,-0.0215641802252442,0.3182650216970688,0.0133900241147353,0.3076215407629021,-0.0771869639794168,0.1348049345607114,0.6482594367245877,1.5118211990276615,0.435326399444378,0.4234234234234235,-0.0659824533027395,2
16,0.47162197971622,0.5392229259564317,-0.0154110501358621,0.4091279682879432,0.0731070496083551,0.3149139502389152,-0.0609967765931069,-0.0018426330309785,0.0443409682020304,0.2813260340632604,-0.2234387672343877,1.153061224489796,-0.3343760862009037,0
17,0.3579470256208396,0.2993067439260991,-0.0266775657281082,0.3228429173943905,0.0145736175882744,0.2690373596792134,-0.0623696682464454,0.2171288575614137,0.8480669785767055,0.8954533113607231,-0.3839776738077649,0.4672897196261683,0.0622962780559431,2
18,0.6273655539449284,0.3432180568743219,0.0534999595672134,0.2139277945496656,0.0934820529199322,0.309599363927418,-0.058945405573397,-0.0019229785888936,0.2474850963122735,1.0957515128366435,-0.0631851330645956,0.4363636363636364,0.1516048717001354,0
19,0.5108329990961555,0.3499102512519347,-0.0518841712025198,0.1579833753048364,-0.0008260330847988,0.2845549517328363,-0.0506993006993007,0.0977377536184144,0.0438070043958493,0.3808874941996318,-0.3671242825423435,0.4491525423728814,0.2349382284893856,0
20,0.5881268540146469,0.4380857994929132,-0.0545931294197653,0.1712292114219875,0.0104577908441831,0.270323672956167,-0.0301279405695419,0.1815826497234702,0.0622853375360494,0.3195339235490529,-0.3991408026696276,0.3859649122807018,0.3195339235490529,0
21,0.327726142122061,-0.0229817065733323,-0.0352472984457124,0.0846403126026314,0.0353362922499146,0.2910009243364586,0.0595420964084558,0.0884857253546857,0.2073371805441054,0.1268480351744986,0.0,0.2411347517730497,0.328070898598516,0
22,0.2586652540064714,0.0464890326529521,-0.062778845040336,0.1254737194936854,0.0493049522154648,0.4589081275428139,-0.0554607508532422,0.0488172177263462,-0.2512050152290268,1.859035396398261,-0.0469882012005795,0.1652892561983471,-0.0469882012005797,2
23,0.3938635424148256,0.1352359297929253,-0.0495560920692876,0.1173608439574454,0.0088474025974025,0.3372439810686604,4.639940608766539e-05,0.0879355716077075,0.0903532062112799,1.3541716952289002,-0.1811576712247304,0.3448275862068966,0.1636180461543304,2
24,0.2164689342432622,-0.0997579104839852,-0.061628277516818,0.1213395768604578,-0.0136355372401672,0.3220389041653936,-0.0109204368174726,0.2449549035612369,-0.0230422931700887,0.5465112404247076,-0.5494115398268753,0.3857142857142856,0.1119360388143239,2
25,0.5845692729564927,0.4115442637586887,0.034734928088176,0.139402254547494,0.0302349416587827,0.3564847116027819,-0.0214145278707688,0.1691949145172792,0.058893507487347,0.4559785727951023,-0.36405533602053,0.390625,1.538629306411973,0
26,0.5494026418737639,0.4523867252371486,0.0756522684134724,0.1406945762958213,0.0206161289631992,0.3113233478097056,0.0054992596033796,0.1357546851141396,-0.0338396010725199,0.2597432562822505,-0.5498214789862229,0.4488188976377952,0.0521102964522115,0
27,0.453931313825258,0.2390886001869983,0.0162630470004338,0.1523273457784002,0.0346609702315325,0.3309025034732625,-0.047494931943238,0.129648698879468,-0.0018113034506477,0.897204030537364,-0.6576978576978577,0.4065040650406504,0.2111837529559047,0
28,0.4657337870447051,0.2781606104406871,7.956653016211929e-05,0.1949871698891961,0.0521907216494845,0.2555897730423417,-0.0568356374807987,0.1709893426388758,0.0235055819869045,0.229926875833003,0.2898259119937013,0.4482758620689656,0.0590149593211442,0
29,0.4393656707057023,0.0273647137745974,-0.0484016206071719,0.2519810020455284,0.0529179703441708,0.3031710112557676,-0.0466627288836384,0.0317790826444152,-0.5251291989664083,-0.0502583979328165,0.4246124031007754,0.4545454545454545,0.4611409262572052,0
30,0.4750519106586401,0.2384646541454685,-0.0553282566078756,0.1831851252593941,0.0204992435703479,0.2926021281872617,-0.0469738030713641,0.1258569542815777,-0.1034842771461511,-0.1670743458602032,-0.4842565609041505,0.3539823008849557,0.035907536241092,0
31,0.4042481031193218,0.2854766160652575,-0.0163449681969302,0.2237380045453915,-0.0077912809024404,0.3658794188870743,-0.0568379446640315,0.1148956152420473,-0.041870809715273,0.2118226026823772,-0.5324395796530177,0.4227642276422763,-2.1385719709177687e-05,2
32,0.738604674043906,0.5977408079202897,0.0320773854432623,0.1925040404523238,0.0414590275115737,0.2882766568400313,-0.0614367886427609,0.107460017783577,-0.1364721651995968,0.2875293751238711,-0.1617376680657067,0.4778761061946901,-0.069031818075503,0
33,0.4844911574640433,0.4462590845120027,-0.0023047279801301,0.2571284615916907,0.009617649367983,0.2857722116899701,-0.0704156479217605,0.1992389737655567,-0.1497701330960514,-0.0095260313386989,-0.1454734388020147,0.4622641509433963,-0.0778345809015474,0
34,0.5340670821553236,0.3545502438986337,0.0311533184209782,0.2892332431675226,0.0676563916591115,0.3061791252024994,-0.0461672473867595,0.144771137765512,0.0468228051224736,-0.0633690691009447,-0.4236117348313507,0.4851485148514852,0.4409706629216234,0
35,0.4644966078239878,0.4732512805713874,0.0065772112773193,0.2779171596287667,0.0500503018108651,0.2707501382318608,-0.0659499939606233,0.1149291660581276,-0.2019161676646705,-0.0476646706586826,-0.4541492624507083,0.4326923076923076,0.3050521179862498,0
36,0.7470653839221331,0.6233803687300442,-0.0314536610654931,0.2525532904562669,0.0329822321523566,0.3159403963336575,-0.0574057843996494,0.2633629175031141,-0.2900813678030693,0.9361417241734472,-0.4191574827479658,0.3596491228070175,0.9361417241734472,0
37,0.6496855571656354,0.4305205618553842,-0.0439177854719182,0.5191783358073021,0.0338007567808197,0.3005246261060214,-0.0422709040419626,0.0921178482981967,-0.1351160838351088,1.0555218073326775,-0.1994722373065435,0.4835164835164836,0.1905284675953968,0
38,0.6115689899775028,0.2154693719798324,0.0108385904108605,0.456608000820993,0.0639964788732394,0.3016148880588959,-0.0274815422477441,0.2761578661202552,-0.1944119419919867,0.8797054686853645,-0.5972059709959933,0.5368421052631579,-0.4778595920318432,0
39,0.9512904077206428,0.5284811554953736,0.1271182282927594,0.2867682812916116,0.0987948221990775,0.2088957247787055,-0.0795165394402035,0.0990244172833347,-0.1505845181674565,1.7302640487474612,4.460528097494923,0.4457831325301203,-0.0899119837508463,0
