Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,LLOC_NAIX,EDAT_Q,SEXE
2025-01-01,1,Ciutat Vella,1,el Raval,819,1,0,1
2025-01-01,1,Ciutat Vella,1,el Raval,854,1,0,2
2025-01-01,1,Ciutat Vella,1,el Raval,646,1,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,732,1,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,561,1,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,586,1,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,495,1,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,532,1,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,377,1,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,352,1,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,253,1,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,246,1,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,180,1,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,242,1,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,161,1,7,1
2025-01-01,1,Ciutat Vella,1,el Raval,224,1,7,2
2025-01-01,1,Ciutat Vella,1,el Raval,170,1,8,1
2025-01-01,1,Ciutat Vella,1,el Raval,191,1,8,2
2025-01-01,1,Ciutat Vella,1,el Raval,218,1,9,1
2025-01-01,1,Ciutat Vella,1,el Raval,262,1,9,2
2025-01-01,1,Ciutat Vella,1,el Raval,289,1,10,1
2025-01-01,1,Ciutat Vella,1,el Raval,319,1,10,2
2025-01-01,1,Ciutat Vella,1,el Raval,309,1,11,1
2025-01-01,1,Ciutat Vella,1,el Raval,355,1,11,2
2025-01-01,1,Ciutat Vella,1,el Raval,268,1,12,1
2025-01-01,1,Ciutat Vella,1,el Raval,282,1,12,2
2025-01-01,1,Ciutat Vella,1,el Raval,236,1,13,1
2025-01-01,1,Ciutat Vella,1,el Raval,231,1,13,2
2025-01-01,1,Ciutat Vella,1,el Raval,162,1,14,1
2025-01-01,1,Ciutat Vella,1,el Raval,143,1,14,2
2025-01-01,1,Ciutat Vella,1,el Raval,168,1,15,1
2025-01-01,1,Ciutat Vella,1,el Raval,132,1,15,2
2025-01-01,1,Ciutat Vella,1,el Raval,129,1,16,1
2025-01-01,1,Ciutat Vella,1,el Raval,85,1,16,2
2025-01-01,1,Ciutat Vella,1,el Raval,103,1,17,1
2025-01-01,1,Ciutat Vella,1,el Raval,58,1,17,2
2025-01-01,1,Ciutat Vella,1,el Raval,88,1,18,1
2025-01-01,1,Ciutat Vella,1,el Raval,19,1,18,2
2025-01-01,1,Ciutat Vella,1,el Raval,22,1,19,1
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,19,2
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,20,1
2025-01-01,1,Ciutat Vella,1,el Raval,72,2,0,1
2025-01-01,1,Ciutat Vella,1,el Raval,70,2,0,2
2025-01-01,1,Ciutat Vella,1,el Raval,63,2,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,61,2,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,57,2,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,67,2,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,63,2,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,53,2,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,98,2,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,38,2,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,85,2,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,83,2,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,82,2,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,76,2,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,67,2,7,1
2025-01-01,1,Ciutat Vella,1,el Raval,74,2,7,2
2025-01-01,1,Ciutat Vella,1,el Raval,49,2,8,1
2025-01-01,1,Ciutat Vella,1,el Raval,70,2,8,2
2025-01-01,1,Ciutat Vella,1,el Raval,56,2,9,1
2025-01-01,1,Ciutat Vella,1,el Raval,74,2,9,2
2025-01-01,1,Ciutat Vella,1,el Raval,71,2,10,1
2025-01-01,1,Ciutat Vella,1,el Raval,68,2,10,2
2025-01-01,1,Ciutat Vella,1,el Raval,64,2,11,1
2025-01-01,1,Ciutat Vella,1,el Raval,61,2,11,2
2025-01-01,1,Ciutat Vella,1,el Raval,43,2,12,1
2025-01-01,1,Ciutat Vella,1,el Raval,55,2,12,2
2025-01-01,1,Ciutat Vella,1,el Raval,46,2,13,1
2025-01-01,1,Ciutat Vella,1,el Raval,44,2,13,2
2025-01-01,1,Ciutat Vella,1,el Raval,34,2,14,1
2025-01-01,1,Ciutat Vella,1,el Raval,35,2,14,2
2025-01-01,1,Ciutat Vella,1,el Raval,39,2,15,1
2025-01-01,1,Ciutat Vella,1,el Raval,29,2,15,2
2025-01-01,1,Ciutat Vella,1,el Raval,26,2,16,1
2025-01-01,1,Ciutat Vella,1,el Raval,22,2,16,2
2025-01-01,1,Ciutat Vella,1,el Raval,17,2,17,1
2025-01-01,1,Ciutat Vella,1,el Raval,15,2,17,2
2025-01-01,1,Ciutat Vella,1,el Raval,31,2,18,1
2025-01-01,1,Ciutat Vella,1,el Raval,8,2,18,2
2025-01-01,1,Ciutat Vella,1,el Raval,12,2,19,1
2025-01-01,1,Ciutat Vella,1,el Raval,..,2,19,2
2025-01-01,1,Ciutat Vella,1,el Raval,..,2,20,1
2025-01-01,1,Ciutat Vella,1,el Raval,..,2,20,2
2025-01-01,1,Ciutat Vella,1,el Raval,12,3,0,1
2025-01-01,1,Ciutat Vella,1,el Raval,11,3,0,2
2025-01-01,1,Ciutat Vella,1,el Raval,17,3,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,15,3,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,14,3,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,24,3,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,25,3,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,23,3,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,53,3,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,29,3,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,105,3,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,96,3,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,112,3,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,163,3,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,117,3,7,1
2025-01-01,1,Ciutat Vella,1,el Raval,148,3,7,2
2025-01-01,1,Ciutat Vella,1,el Raval,93,3,8,1
2025-01-01,1,Ciutat Vella,1,el Raval,136,3,8,2
2025-01-01,1,Ciutat Vella,1,el Raval,81,3,9,1
2025-01-01,1,Ciutat Vella,1,el Raval,121,3,9,2
2025-01-01,1,Ciutat Vella,1,el Raval,77,3,10,1
2025-01-01,1,Ciutat Vella,1,el Raval,114,3,10,2
2025-01-01,1,Ciutat Vella,1,el Raval,92,3,11,1
2025-01-01,1,Ciutat Vella,1,el Raval,125,3,11,2
2025-01-01,1,Ciutat Vella,1,el Raval,124,3,12,1
2025-01-01,1,Ciutat Vella,1,el Raval,119,3,12,2
2025-01-01,1,Ciutat Vella,1,el Raval,141,3,13,1
2025-01-01,1,Ciutat Vella,1,el Raval,145,3,13,2
2025-01-01,1,Ciutat Vella,1,el Raval,165,3,14,1
2025-01-01,1,Ciutat Vella,1,el Raval,133,3,14,2
2025-01-01,1,Ciutat Vella,1,el Raval,184,3,15,1
2025-01-01,1,Ciutat Vella,1,el Raval,142,3,15,2
2025-01-01,1,Ciutat Vella,1,el Raval,143,3,16,1
2025-01-01,1,Ciutat Vella,1,el Raval,116,3,16,2
2025-01-01,1,Ciutat Vella,1,el Raval,144,3,17,1
2025-01-01,1,Ciutat Vella,1,el Raval,84,3,17,2
2025-01-01,1,Ciutat Vella,1,el Raval,86,3,18,1
2025-01-01,1,Ciutat Vella,1,el Raval,26,3,18,2
2025-01-01,1,Ciutat Vella,1,el Raval,28,3,19,1
2025-01-01,1,Ciutat Vella,1,el Raval,8,3,19,2
2025-01-01,1,Ciutat Vella,1,el Raval,..,3,20,1
