,codi_barri,poblacio_total,pct_pob_estrangera,pct_pob_estrangera_occidental,pct_pob_espanyola,pct_joves,pct_universitaris,import_euros,index_gini,total_incidents_1000_hab,locals_restauracio_1000_hab,locals_sanitaris_1000_hab,locals_serveis_professionals_1000_hab,preu_mitja_m2,pisos_turistics_1000_hab
0,1,45671,0.5096231744433011,0.10641326005561516,0.490376825556699,0.38131418186595434,0.2418602614350463,11917.47619047619,33.7952380952381,16.378007926255172,10.947866260865757,0.1751658601738521,0.21895732521731515,15.9,4.641895294607081
1,2,24460,0.6571954210956664,0.14664758789861,0.3428045789043336,0.5034341782502044,0.278250204415372,16013.222222222224,39.266666666666666,28.618152085036794,17.988552739165986,0.24529844644317256,0.08176614881439084,16.4,8.21749795584628
2,3,14274,0.42104525711083085,0.1925178646490122,0.5789547428891691,0.40843491663163795,0.30524029704357575,15359.818181818182,32.809090909090905,45.607398066414454,12.400168137873056,1.0508617065994115,0.3502872355331372,19.0,4.483676614824156
3,4,22041,0.46626741073454014,0.21205934394991152,0.5337325892654599,0.42057982850142916,0.40628828093099223,16621.153846153848,36.76923076923077,30.670114786080486,17.558187015108206,0.589809899732317,0.09073998457420261,17.4,7.758268681094324
4,5,34403,0.321163851989652,0.10452576810161905,0.678836148010348,0.3250879283783391,0.37796122431183327,20418.8,31.89,18.544894340609833,5.813446501758568,0.6685463477022353,0.9592186727901636,16.1,9.679388425428014
5,6,51712,0.26113861386138615,0.08760055693069307,0.7388613861386139,0.31731512995049505,0.3807240099009901,19505.41176470588,32.73823529411764,12.801670792079207,7.65779702970297,1.1215965346534653,0.8508663366336634,16.7,14.503403465346535
6,7,44105,0.2950912594943884,0.14472282054188867,0.7049087405056116,0.32282054188867476,0.4977440199523864,26054.58620689655,36.83793103448276,16.687450402448704,20.677927672599477,2.380682462305861,1.2470241469221177,16.6,0.037524090239201904
7,8,42751,0.2842272695375547,0.11431311548267876,0.7157727304624453,0.3382143107763561,0.47348600032747773,24315.346153846152,35.753846153846155,15.835886879839066,16.561016116582067,2.549647961451194,1.2163458164721292,16.8,15.859278145540456
8,9,57584,0.22690330647402057,0.07621908863573215,0.7730966935259794,0.3038691303139761,0.423746179494304,22170.15,32.69,11.461517088080022,7.050569602667408,1.701861628230064,1.3719088635732146,16.7,8.405112531258682
9,10,38269,0.2644960673129687,0.09205884658600956,0.7355039326870313,0.3116099192557945,0.37594397554156106,19782.916666666668,32.69166666666667,17.350858397136065,10.582978389819436,1.332671352792077,1.0452324335624135,15.9,14.816169745747212
10,11,38778,0.3464335447934396,0.11179019031409562,0.6535664552065604,0.327350559595647,0.28302130073753157,15420.75,32.55416666666667,18.90247047294858,7.194801175924494,0.4383929031925318,0.979937077724483,16.0,13.22915054928052
11,12,1678,0.17342073897497023,0.05125148986889154,0.8265792610250298,0.3063170441001192,0.1501787842669845,14121.0,31.3,318.2359952324195,6.5554231227651965,0.0,12.514898688915377,13.4,1.7878426698450536
12,13,30437,0.18257384104872354,0.030456352465748925,0.8174261589512765,0.24644347340408057,0.15816276242730887,14844.411764705885,28.041176470588237,18.7929165160824,3.449748661168972,0.9856424746197063,0.3614022406938923,12.6,0.19712849492394127
13,14,10499,0.25364320411467756,0.06676826364415658,0.7463567958853224,0.29688541765882465,0.30421944947137824,18431.14285714286,30.085714285714285,40.67054005143347,3.2384036574911894,0.38098866558719874,0.7619773311743975,15.8,12.47737879798076
14,15,15969,0.27390569227879014,0.0799674369090112,0.7260943077212099,0.315486254618323,0.3130440227941637,17482.9,32.28,34.566973511177906,9.518441981338844,1.7533972070887345,1.0019412611935625,15.8,11.083975201953784
15,16,19728,0.1778690186536902,0.0430352798053528,0.8221309813463098,0.2641423357664234,0.26191200324412,17590.615384615383,29.13076923076923,25.952960259529604,3.2948094079480943,0.5575831305758313,1.013787510137875,21.1,1.5206812652068127
16,17,24366,0.21690059919560045,0.04063038660428466,0.7830994008043995,0.27899532134942134,0.26742181728638265,16971.3125,30.9125,20.930805220389068,4.309283427727161,1.026019863744562,0.8208158909956497,15.7,3.9809570713289006
17,18,44508,0.2612788712141637,0.05920283993888739,0.7387211287858363,0.3099442796800575,0.3120787274197897,19140.51724137931,31.32413793103448,14.222162307899705,5.976453671250113,1.2357329019502112,0.9436505796710704,15.8,5.347353284802732
18,19,45965,0.15590122919612748,0.048710975742412704,0.8440987708038725,0.24261938431415206,0.4060480800609159,24792.314285714285,32.58,13.553790927879907,7.396932448602197,2.371369520287175,0.9354943979114544,17.1,4.590449254867834
19,20,24059,0.1662163847208945,0.04252047050999626,0.8337836152791055,0.2460202003408288,0.36917577621680037,22158.93333333333,31.33333333333333,24.564611995511036,4.863045014339748,1.4963215428737686,0.7065962841348352,15.8,1.9950953904983582
20,21,12130,0.1984336356141797,0.07947238252267107,0.8015663643858203,0.21360263808738664,0.455482275350371,33520.28571428572,41.385714285714286,41.71475680131905,3.709810387469085,0.5770816158285244,0.24732069249793903,17.5,0.9068425391591096
21,22,4831,0.16621817429103702,0.0950113848064583,0.833781825708963,0.20885944938936038,0.3647277996274063,25698.666666666668,36.9,86.11053612088594,2.276961291658042,0.6209894431794659,0.206996481059822,14.1,0.6209894431794659
22,23,24858,0.16252313138627406,0.08150293668034436,0.8374768686137259,0.2165500040228498,0.4415479925979564,30462.0,38.4875,23.533671252715425,3.540107812374286,2.293024378469708,0.7643414594899026,19.5,1.0861694424330195
23,24,16276,0.12466207913492255,0.05259277463750307,0.8753379208650774,0.21700663553698699,0.4639346276726468,35403.0,40.345454545454544,29.122634553944458,3.2563283362005406,5.529614155812238,0.24576062914721059,19.4,2.0889653477512904
24,25,26135,0.16078056246412853,0.06259804859383968,0.8392194375358715,0.23971685479242394,0.44798163382437345,31431.33333333333,38.36666666666667,22.3072508130859,5.509852687966329,3.6732351253108857,0.7269944518844461,17.8,2.601874880428544
25,26,47674,0.16963124554264375,0.07742165540965726,0.8303687544573563,0.2544573562109326,0.47573100641859295,31548.451612903227,39.89677419354839,14.053781935646265,8.914712421865168,2.8317321810630536,0.7131769937492134,18.4,6.103956034735915
26,27,30030,0.17948717948717952,0.07462537462537462,0.8205128205128205,0.2706626706626707,0.4631701631701632,25713.736842105263,34.62105263157895,18.215118215118213,4.195804195804196,1.7649017649017649,0.5661005661005661,17.3,6.593406593406593
27,28,16330,0.18113900796080828,0.06901408450704226,0.8188609920391917,0.2563992651561543,0.38475199020208206,23054.454545454544,33.49090909090909,34.78260869565217,2.5719534598897735,1.3472137170851195,1.1635027556644213,16.8,2.3882424984690753
28,29,7740,0.20167958656330753,0.05813953488372093,0.7983204134366925,0.2648578811369509,0.30077519379844964,17737.2,32.28,42.248062015503876,0.9043927648578811,0.25839793281653745,0.3875968992248062,14.4,2.5839793281653747
29,30,13491,0.17930472166629607,0.07101030316507301,0.8206952783337039,0.25631902749981467,0.3921873841820473,21889.7,31.65,36.02401601067378,3.1873100585575567,1.2600993254762434,0.7412348973389667,15.3,2.742569120154177
30,31,50048,0.26288762787723785,0.12711796675191817,0.7371123721227621,0.33302030051150894,0.44273497442455245,20979.11111111111,33.141666666666666,13.527014066496163,10.010390025575447,2.018062659846547,0.8991368286445013,17.5,15.225383631713555
31,32,35319,0.21014184999575303,0.08188227299753674,0.789858150004247,0.28454939267816187,0.3950281718055438,21552.92,30.676,15.96874203686401,3.793991902375492,1.670488971941448,1.557235482318299,16.7,6.313882046490558
32,33,25719,0.18927641043586452,0.06057778296201252,0.8107235895641355,0.26859520199074616,0.3248182277693534,19025.84210526316,30.015789473684208,20.10187021268323,3.771530774913488,0.894280493020724,1.7107974649092113,15.5,3.1494226058555927
33,34,9421,0.20114637511941402,0.05848636025899586,0.798853624880586,0.26748752786328417,0.27555461203693876,17738.285714285714,31.285714285714285,42.03375437851608,2.0167710434136503,0.10614584439019212,0.8491667551215369,15.0,2.1229168878038425
34,35,37575,0.18895542248835662,0.05125748502994012,0.8110445775116434,0.2676779773785762,0.3009447771124418,18201.92,30.932,15.32934131736527,3.1669993346640055,0.7717897538256819,1.2508316699933466,14.9,1.9693945442448437
35,36,9709,0.09516943042537851,0.033680090637552784,0.9048305695746215,0.20980533525594808,0.31063961273045626,22027.714285714286,30.728571428571428,42.74384591616026,1.1329694098259346,0.41198887630033987,0.3089916572252549,15.5,0.41198887630033987
36,37,32512,0.20515501968503935,0.035525344488188976,0.7948449803149606,0.2541830708661417,0.14554625984251968,13589.181818181818,28.21818181818181,17.2244094488189,2.3375984251968505,0.5228838582677166,0.7381889763779528,13.5,0.984251968503937
37,38,12087,0.19392735997352528,0.03648548026805659,0.8060726400264747,0.265078183172003,0.18399933813187722,15072.375,29.6375,35.16174402250351,1.9856043683296105,0.3309340613882684,0.49640109208240263,14.6,0.4136675767353355
38,39,7385,0.20555179417738656,0.03547731888964117,0.7944482058226134,0.25457007447528773,0.1956668923493568,15405.2,28.94,55.92417061611375,1.8957345971563981,0.8124576844955992,0.8124576844955992,12.0,0.4062288422477996
39,40,5174,0.18341708542713564,0.0365287978353305,0.8165829145728644,0.2541553923463471,0.2707769617317356,17190.25,29.2,74.99033629686896,2.8991109393119445,1.7394665635871667,0.38654812524159254,13.8,0.0
40,41,5874,0.1123595505617978,0.03132448076268301,0.8876404494382022,0.2093973442288049,0.29179434797412324,19685.5,26.8,71.50153217568948,2.042900919305414,0.5107252298263535,0.5107252298263535,15.0,0.17024174327545114
41,42,699,0.14592274678111583,0.034334763948497854,0.8540772532188842,0.290414878397711,0.24320457796852646,17668.0,26.6,307.58226037195993,1.4306151645207439,0.0,0.0,15.5,0.0
42,43,29395,0.19802687531893182,0.024732097295458413,0.8019731246810682,0.25218574587514886,0.22537846572546352,17956.238095238095,29.24761904761905,19.867324374893688,3.640074842660316,0.8845041673754039,0.8164653852696037,13.9,0.20411634631740092
43,44,25919,0.17288475635634093,0.026505652224237047,0.8271152436436591,0.23909101431382385,0.22585747906940853,16822.21052631579,29.23157894736842,20.94988232570701,4.436899571742737,1.2346155330066748,1.9676685057293877,13.7,0.6558895019097959
44,45,28978,0.2729311891779971,0.023500586651942854,0.7270688108220029,0.26847953619987575,0.1677479467182,15134.666666666666,28.78888888888889,18.738353233487473,3.588929532748982,0.7591966319276692,1.3113396369659742,13.5,0.4141072537787287
45,46,16295,0.2507517643448911,0.021049401656949986,0.7492482356551089,0.27161706044799017,0.14906413010125805,13031.6,29.18,27.67720159558147,3.191162933415158,0.7977907333537895,0.36821110770174903,12.6,0.0613685179502915
46,47,2170,0.091705069124424,0.014285714285714285,0.908294930875576,0.23410138248847925,0.09078341013824885,12107.5,28.55,126.26728110599078,0.4608294930875576,0.9216589861751152,0.0,12.5,0.0
47,48,15265,0.11955453652145431,0.017949557811988207,0.8804454634785457,0.20648542417294463,0.18106780216180807,16811.18181818182,25.26363636363636,31.903046184081234,3.340976089092696,0.9826400262037339,0.5895840157222404,12.2,0.06550933508024893
48,49,6786,0.0786914235190097,0.011199528440907752,0.9213085764809903,0.19731800766283525,0.12761567933981727,16301.2,24.76,53.93457117595048,2.799882110226938,0.2947244326554671,1.031535514294135,10.8,0.14736221632773355
49,50,16523,0.2588512981904013,0.025055982569751258,0.7411487018095987,0.2776130242692005,0.0975609756097561,11644.8,28.68,27.658415541971795,2.7234763662773105,0.42365187919869274,0.6657386673122314,13.6,0.12104339405676935
50,51,12774,0.24174103648035072,0.02497260059495851,0.7582589635196493,0.25857209957726635,0.11922655393768593,12546.625,29.075,36.01064662595898,3.7576326914044156,0.6262721152340692,0.9394081728511039,14.5,0.23485204321277597
51,52,26664,0.1871812181218122,0.02073957395739574,0.8128187818781878,0.23912391239123912,0.1274002400240024,14001.45,27.85,20.28952895289529,4.462946294629463,0.9750975097509751,1.3501350135013501,13.9,0.11251125112511251
52,53,7624,0.24226128016789084,0.017707240293809025,0.7577387198321092,0.2709863588667366,0.08866736621196222,11380.8,28.46,54.82686253934942,1.7051416579223506,0.3934942287513117,0.0,13.5,0.0
53,54,2939,0.2055120789384144,0.028581150051037767,0.7944879210615856,0.25995236474991495,0.08540319836679143,11028.5,28.85,109.56107519564478,1.0207553589656344,1.0207553589656344,0.0,7.7,0.0
54,55,10857,0.3107672469374597,0.016855484940591324,0.6892327530625403,0.26959565257437595,0.06447453255963895,9898.833333333334,28.1,40.52684903748734,1.5658100764483742,0.368425900340794,0.27631942525559544,10.4,0.0
55,56,1421,0.17593244194229418,0.025334271639690358,0.8240675580577058,0.24278676988036593,0.08092892329345532,11362.0,28.7,173.82125263898664,2.11118930330753,0.0,1.4074595355383532,8.0,0.0
56,57,10286,0.2974917363406572,0.029068636982306047,0.7025082636593428,0.2773672953529069,0.09274742368267548,11399.4,30.660000000000004,44.72097997277853,2.62492708535874,0.29165856503986,0.6805366517596734,12.5,0.4860976083997667
57,58,2582,0.15143299767621998,0.015879163439194422,0.84856700232378,0.25290472501936484,0.06661502711076685,11390.5,27.85,109.60495739736638,3.4856700232378004,0.774593338497289,0.0,9.2,0.0
58,59,14434,0.2634058473049744,0.01995288901205487,0.7365941526950256,0.2694332825273659,0.12851600387972842,13945.142857142857,27.571428571428573,40.32146321186089,7.066648191769434,0.3464043231259526,3.741166689760288,10.9,0.06928086462519052
59,60,57902,0.10630030050775452,0.02207177644986356,0.8936996994922455,0.21805809816586647,0.24669268764464095,18558.89743589744,27.58205128205128,11.554005043003695,4.00677005975614,1.5888915754205382,1.0880453179510208,14.0,0.569928499879106
60,61,29908,0.17797913601711912,0.034071151531362844,0.8220208639828809,0.24836164236993447,0.2481275912799251,17258.35,28.47,19.12531764076501,3.5442022201417682,0.8693326200347733,0.6352815300254113,14.5,0.7355891400294235
61,62,14623,0.16925391506530807,0.03576557477945702,0.8307460849346919,0.25254735690350816,0.2638309512411954,17289.666666666668,29.633333333333333,30.636668262326474,5.6759898789578065,1.4360938247965533,1.77802092593859,14.0,0.41031252137044383
62,63,22064,0.17508158085569248,0.041787527193618564,0.8249184191443075,0.25312726613488035,0.2690808556925308,17775.53846153846,28.584615384615383,22.34408992023205,4.169688179840464,0.7251631617113851,1.4503263234227701,14.5,0.9970993473531544
63,64,38343,0.22525623973085052,0.07106903476514619,0.7747437602691495,0.2880577941214824,0.315937720053204,18556.48,30.548,14.839736066557128,4.955272148762486,1.1475367081344703,1.3561797459771014,15.8,7.615470881256031
64,65,26470,0.1850018889308651,0.06377030600680016,0.8149981110691349,0.2673214960332452,0.2874574990555346,18433.647058823528,29.04705882352941,20.853796751038914,5.213449187759728,0.6800151114469211,1.1333585190782018,15.4,1.8511522478277296
65,66,16413,0.27137025528544445,0.11758971546944495,0.7286297447145555,0.28568817400840796,0.35325656491805274,20066.0,31.73333333333333,37.470297934564066,10.479497958934992,0.6702004508621215,1.6450374702979345,17.3,6.092731371473832
66,67,9338,0.22328121653458988,0.12572285285928464,0.7767187834654101,0.2606553865924181,0.4885414435639323,27578.8,32.94,56.22188905547226,9.852216748768473,1.6063396872992075,0.7496251874062968,20.4,11.244377811094454
67,68,34151,0.2360399402652924,0.11449152294222717,0.7639600597347076,0.25990454159468246,0.3411613129922989,20106.55,31.855,18.008257444877163,7.906064244092414,1.3469590934379667,1.2005504963251443,17.8,12.356885596322215
