codi_barri,poblacio_total,pct_pob_estrangera,pct_pob_estrangera_occidental,pct_joves,pct_universitaris,import_euros,index_gini,total_incidents_1000_hab,locals_restauracio_1000_hab,locals_sanitaris_1000_hab,locals_serveis_professionals_1000_hab,preu_mitja_m2,pisos_turistics_1000_hab
1,47150,0.4804241781548251,0.095949098621421,0.3940402969247084,0.1849628844114528,8507.809523809523,36.33809523809524,14.294803817603393,11.537645811240722,0.14846235418875928,0.6998939554612937,11.1,3.8176033934252387
2,15514,0.41942761376820936,0.20903699883975763,0.4281294314812428,0.33356967899961326,11447.444444444443,41.0875,40.286193115895315,33.3247389454686,0.25783163594173003,0.32228954492716255,11.2,11.860255253319583
3,15037,0.312961361973798,0.15116047083859813,0.37321274190330517,0.21473698211079337,10818.818181818182,34.95454545454545,40.899115515062846,14.497572654119839,0.5320210148300858,0.39901576112256437,16.3,4.58868125290949
4,22468,0.39273633612248526,0.1946323660316895,0.4038187644650169,0.32339327042905464,11689.0,39.51538461538462,26.34858465372975,16.64589638597116,0.35606195478013175,0.9791703756453624,12.7,7.610824283425316
5,31548,0.19433878534296944,0.07645492582731077,0.29621529098516547,0.31396602003296564,15441.5,34.02,17.87751996957018,5.515405096995055,0.5071636870800051,1.7433751743375174,10.9,10.872321541777607
6,51094,0.17025482444122597,0.05605354836184288,0.29150193760519827,0.29907621247113164,15354.29411764706,34.04705882352941,10.9993345598309,6.987121775550945,0.7045837084589188,1.663600422750225,11.1,15.539985125455043
7,43558,0.1929151935350567,0.10436659167087561,0.2887184902888103,0.42072638780476607,19841.55172413793,38.05862068965517,15.863905597134853,17.264337205564992,1.469305294090638,1.4233895036503055,11.3,0.04010744294963038
8,41662,0.1868609284239835,0.0838413902357064,0.30365800969708606,0.3914118381258701,18175.53846153846,37.38076923076923,14.113580721040757,16.273822668138834,1.5121693629686526,1.4161586097642935,11.4,17.449954394892227
9,57664,0.16408851276359604,0.05545921198668147,0.29364941731409544,0.34520671476137627,17153.725,34.802499999999995,9.936875693673697,7.058129855715872,0.9364594894561598,1.4393729189789122,11.3,7.422308546059933
10,38031,0.19615576766322207,0.07165207330861666,0.29783597591438565,0.2931555836028503,15087.416666666666,35.3125,15.303305198390786,9.308195945412953,0.7362414872078041,1.6565433462175594,11.0,14.935184454786883
11,40222,0.2913828253194769,0.08100044751628462,0.3336233901844762,0.20095967381035254,11037.541666666666,34.5625,17.080204863010295,8.005569091541943,0.5221023320570832,1.267962806424345,11.1,13.574660633484163
12,1122,0.08734402852049916,0.011586452762923352,0.3172905525846702,0.04723707664884135,9003.0,31.3,424.24242424242425,6.238859180035651,0.0,0.8912655971479501,6.6,2.6737967914438503
13,30237,0.1298078513080001,0.02364652577967391,0.25392730760326754,0.11525614313589311,11453.470588235294,30.03529411764706,16.46988788570295,3.075701954558984,0.8929457287429309,0.4630088963852234,8.4,0.19843238416509573
14,10371,0.18387812168546913,0.062289075306142125,0.29534278275961817,0.2433709381930383,13976.857142857143,32.65714285714286,33.55510558287533,3.278372384533796,1.0606498891138754,0.7713817375373637,11.3,7.135281072220615
15,15758,0.20383297372763043,0.05831958370351568,0.3224393958624191,0.237466683589288,13370.0,34.980000000000004,30.46071836527478,5.774844523416678,0.6980581292042137,0.6980581292042137,11.1,11.866988196471635
