codi_barri,delta_pct_pob_estrangera,delta_pct_pob_estrangera_occidental,delta_pct_joves,delta_pct_universitaris,delta_pob_pct,delta_renda_pct,delta_gini_pct,delta_pct_total_incidents_1000_hab,delta_pct_locals_restauracio_1000_hab,delta_pct_locals_sanitaris_1000_hab,delta_pct_locals_serveis_professionals_1000_hab,delta_pct_preu_mitja_m2,delta_pct_pisos_turistics_1000_hab
1,0.029198996288475998,0.010464161434194166,-0.01272611505875404,0.05689737702359349,-0.03136797454931071,0.40076904132897523,-0.06997772244790988,0.14573156338713858,-0.05111784154444781,0.1798671867424467,-0.6871564277576846,0.4324324324324325,0.21591868411513254
2,0.23776780732745706,-0.06238941094114764,0.07530474676896165,-0.055319474584241246,0.5766404537836792,0.39884690420957647,-0.04431599229287089,-0.2896287816843826,-0.46020424140150645,-0.048609975470155165,-0.7462959934587081,0.46428571428571425,-0.3071398734402218
3,0.10808389513703287,0.04135739381041406,0.03522217472833278,0.09050331493278238,-0.05074150428941943,0.4197316124261598,-0.0613784135240573,0.1151194223165433,-0.14467280601285723,0.9752259352669188,-0.12212180654803612,0.16564417177914106,-0.022883402070857498
4,0.07353107461205488,0.01742697791822201,0.016761064036412254,0.0828950105019376,-0.019004806836389533,0.42194831432576335,-0.06949581467782767,0.16401374833387902,0.05480573758142024,0.6564811033982123,-0.9073297284812188,0.37007874015748027,0.01937298670659224
5,0.12682506664668258,0.028070842274308283,0.02887263739317364,0.06399520427886762,0.0904970204133384,0.3223326749344299,-0.06261022927689601,0.037330366414111645,0.05403798987057073,0.31820626108188227,-0.44979216928756216,0.4770642201834863,-0.1097220231912448
6,0.09088378942016018,0.0315470085688502,0.025813192345296776,0.08164779742985845,0.012095353661878108,0.27035548591503417,-0.03844160331720811,0.1638586609439414,0.09598734295698476,0.5918570372662266,-0.4885392399534071,0.5045045045045045,-0.06670416037982888
7,0.10217606595933171,0.04035622887101306,0.03410205159986446,0.07701763214762031,0.01255796868543092,0.3131324892901521,-0.03207393313400382,0.051913118132938835,0.19772496484453206,0.6202776045799794,-0.12390519690913551,0.4690265486725664,-0.06441080558720297
8,0.09736634111357123,0.030471725246972364,0.034556301079270046,0.08207416220160763,0.026138927559886706,0.337806096105501,-0.04352299619302399,0.12203183535349517,0.017647571458763972,0.6860862439679307,-0.1410949253243754,0.4736842105263158,-0.09115647028953715
9,0.06281479371042453,0.020759876649050685,0.01021971299988067,0.07853946473292772,-0.0013873473917869034,0.29243939727377016,-0.06069966238057604,0.15343267254283827,-0.0010711411100408198,0.8173360913010819,-0.046870449288122215,0.4778761061946901,0.13241217056659033
10,0.06834029964974664,0.020406773277392903,0.013773943341408856,0.08278839193871074,0.006258052641266335,0.3112196145794786,-0.07421828908554563,0.13379810257986546,0.1369526868452626,0.8101008649298387,-0.3690280209394898,0.4454545454545455,-0.00796874718219673
11,0.05505071947396267,0.030789742797811007,-0.006272830588829159,0.08206162692717903,-0.03590075083287753,0.397118168674335,-0.058107293550331514,0.10668874434197624,-0.10127548789430141,-0.16033145941857077,-0.22715629136795773,0.4414414414414415,-0.025452576203001648
12,0.08607671045447107,0.039665037105968186,-0.010973508484551031,0.10294170761814314,0.49554367201426025,0.5684771742752416,0.0,-0.24987229695215404,0.05074067767750714,,13.041716328963053,1.0303030303030305,-0.33134684147794996
13,0.05276598974072344,0.006809826686075014,-0.007483834199186967,0.04290661929141576,0.006614412805503191,0.29606232891135004,-0.06639247943595764,0.14104702147948484,0.12161344373942165,0.10381005574355776,-0.21944860343848416,0.4999999999999999,-0.006570949830797901
14,0.06976508242920842,0.004479188338014459,0.0015426348992064742,0.060848511278339956,0.01234210780059782,0.3186900795192053,-0.078740157480315,0.21205221515349565,-0.012191637298790374,-0.640796959017742,-0.012191637298790366,0.3982300884955752,0.7486877772143036
15,0.07007271855115971,0.021647853205495525,-0.006953141244096073,0.07557733920487572,0.013390024114735373,0.3076215407629021,-0.07718696397941688,0.1348049345607114,0.6482594367245877,1.5118211990276615,0.435326399444378,0.42342342342342354,-0.06598245330273951
16,0.057003048244638865,0.015076184940252715,-0.004134426635665378,0.07604385703002078,0.0731070496083551,0.3149139502389152,-0.06099677659310699,-0.0018426330309785485,0.04434096820203045,0.2813260340632604,-0.22343876723438777,1.153061224489796,-0.33437608620090375
17,0.057173750428112124,0.009359567150587125,-0.0076469171582402296,0.06526492188331803,0.014573617588274483,0.2690373596792134,-0.06236966824644546,0.2171288575614137,0.8480669785767055,0.8954533113607231,-0.3839776738077649,0.4672897196261683,0.06229627805594314
