Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_DOMICILI
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,56.3829683032057,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,33.9790794387376,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,36.8225482685,3
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,57.9206473349227,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,33.8799925913808,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,35.3791134897044,3
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,56.3164880825643,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,33.6761401673058,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,34.4137373750141,3
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,50.7146400073397,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,33.5656373906702,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,34.7484424572274,3
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,55.2599377463424,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,35.8401352472262,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,36.3676373678653,3
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,55.3708588616605,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,36.8385322226067,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,36.9571019387097,3
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,47.3745442505357,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,34.2484875829988,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,36.2775183818421,3
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,56.8202597936325,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,33.0493392860433,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,34.6222179629126,3
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,54.527786132668,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,33.4620273815221,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,35.8392261701231,3
2015-01-01,1,Ciutat Vella,1,el Raval,4,1010,53.8156834933747,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1010,33.0434429714595,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1010,35.3630812807571,3
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,54.1522037432826,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,32.8089599847628,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,34.232967627414,3
2015-01-01,1,Ciutat Vella,1,el Raval,5,1012,53.769597010711,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1012,33.290378827539,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1012,34.5646500518984,3
2015-01-01,1,Ciutat Vella,1,el Raval,5,1013,58.3022880027252,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1013,33.7764346546217,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1013,35.9918095975633,3
2015-01-01,1,Ciutat Vella,1,el Raval,6,1014,55.4067671456729,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1014,35.3431163593487,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1014,36.6678369956017,3
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,55.3421221213468,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,34.7484817790644,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,35.0277405381757,3
2015-01-01,1,Ciutat Vella,1,el Raval,6,1016,56.3575949999497,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1016,36.1858628718015,2
