Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_DOMICILI
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,35.5661083265439,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,35.4225999726672,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,55.5496633300967,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,35.6112550849776,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,36.8863261164229,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,55.5186134466418,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,36.5343765955904,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,38.7263878513008,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,54.2984405007399,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,38.1289734473177,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,37.220576058454,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,54.5221179293624,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,35.4205649905569,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,37.3815334790056,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,53.223495292313,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,35.3023215718872,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,38.1508825056559,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,55.456789681103,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,35.8779890971415,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,37.4139273230359,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,54.255663825255,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,37.6090484464753,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,36.2385150945154,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,57.5941640212859,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,37.0226891710048,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,39.6218711345594,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,53.7349251756828,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,37.4660679780472,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,36.0017282600548,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,57.1034803123051,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,36.1709449996995,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,37.3264044652734,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,55.0726918543244,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,36.6958988723808,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,35.9997428082571,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,56.0146992975469,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,36.1999181368106,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,38.6938116672694,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,57.8892107186759,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,36.4622567219958,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,39.6785706571215,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,53.4288395072344,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,36.4664666769871,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,37.4611410813282,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,55.463463022038,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,37.128049504191,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,36.3526639043823,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,57.961057467631,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,36.9021538265086,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,36.3850973503949,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,51.7592493675487,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,36.7528244451441,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,36.7671307941914,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,60.5261183199807,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,38.1810350536886,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,38.0926586687541,3
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,52.2391341432525,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,36.4440817352112,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,39.1392820168283,3
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,55.0560099535628,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,37.621772335054,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,37.9241627013662,3
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,53.5486282630694,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,36.2989326660961,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,36.690456347837,3
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,54.8814392197126,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,35.5467231712053,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,37.4589493449141,3
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,57.695875022554,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,36.5017131631726,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,37.4789694594601,3
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,52.6485348051125,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,36.6403053939814,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,36.7581009246401,3
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,55.6250251218631,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,35.7022160005721,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,37.828516238754,3
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,53.7344766237113,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,35.304549567132,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,37.9200586883952,3
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,51.5550978737231,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,36.208342511071,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,36.9440420254977,3
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,54.1525712689691,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,36.9205271255446,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,38.4494439477198,3
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,56.9977494758144,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,37.3156632057167,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,38.2086398854371,3
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,55.1823465341503,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,36.8667564298788,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,36.5886958680281,3
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,59.393145131486,1
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,38.1280573055977,2
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,38.3211265834563,3
2025-01-01,2,Eixample,5,el Fort Pienc,20,2001,57.9532278157469,1
2025-01-01,2,Eixample,5,el Fort Pienc,20,2001,38.0172508639566,2
2025-01-01,2,Eixample,5,el Fort Pienc,20,2001,38.8050029380639,3
2025-01-01,2,Eixample,5,el Fort Pienc,20,2002,59.2903368029647,1
2025-01-01,2,Eixample,5,el Fort Pienc,20,2002,36.514637334446,2
2025-01-01,2,Eixample,5,el Fort Pienc,20,2002,39.1143846671838,3
2025-01-01,2,Eixample,5,el Fort Pienc,20,2003,55.5374851740393,1
2025-01-01,2,Eixample,5,el Fort Pienc,20,2003,35.9065053551885,2
2025-01-01,2,Eixample,5,el Fort Pienc,20,2003,38.6316597249061,3
2025-01-01,2,Eixample,5,el Fort Pienc,20,2004,56.9643313174367,1
2025-01-01,2,Eixample,5,el Fort Pienc,20,2004,36.2485489094878,2
2025-01-01,2,Eixample,5,el Fort Pienc,20,2004,38.33741851927,3
2025-01-01,2,Eixample,5,el Fort Pienc,20,2005,57.4954526589258,1
2025-01-01,2,Eixample,5,el Fort Pienc,20,2005,36.1289234832318,2
