Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NIV_EDUCA_esta,LLOC_NAIX
2015-01-01,1,Ciutat Vella,1,el Raval,575,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,103,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,990,1,3
2015-01-01,1,Ciutat Vella,1,el Raval,25,1,4
2015-01-01,1,Ciutat Vella,1,el Raval,849,1,5
2015-01-01,1,Ciutat Vella,1,el Raval,1723,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,322,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,1709,2,3
2015-01-01,1,Ciutat Vella,1,el Raval,286,2,4
2015-01-01,1,Ciutat Vella,1,el Raval,8664,2,5
2015-01-01,1,Ciutat Vella,1,el Raval,5,2,6
2015-01-01,1,Ciutat Vella,1,el Raval,2703,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,322,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,796,3,3
2015-01-01,1,Ciutat Vella,1,el Raval,360,3,4
2015-01-01,1,Ciutat Vella,1,el Raval,4629,3,5
2015-01-01,1,Ciutat Vella,1,el Raval,..,3,6
2015-01-01,1,Ciutat Vella,1,el Raval,1905,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,383,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,763,4,3
2015-01-01,1,Ciutat Vella,1,el Raval,1027,4,4
2015-01-01,1,Ciutat Vella,1,el Raval,3185,4,5
2015-01-01,1,Ciutat Vella,1,el Raval,..,4,6
2015-01-01,1,Ciutat Vella,1,el Raval,1432,5,1
2015-01-01,1,Ciutat Vella,1,el Raval,625,5,2
2015-01-01,1,Ciutat Vella,1,el Raval,1135,5,3
2015-01-01,1,Ciutat Vella,1,el Raval,1977,5,4
2015-01-01,1,Ciutat Vella,1,el Raval,3552,5,5
2015-01-01,1,Ciutat Vella,1,el Raval,6,5,6
2015-01-01,1,Ciutat Vella,1,el Raval,292,6,1
2015-01-01,1,Ciutat Vella,1,el Raval,18,6,2
2015-01-01,1,Ciutat Vella,1,el Raval,11,6,3
2015-01-01,1,Ciutat Vella,1,el Raval,10,6,4
2015-01-01,1,Ciutat Vella,1,el Raval,478,6,5
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,151,1,1
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,42,1,2
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,326,1,3
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1,4
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,114,1,5
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,507,2,1
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,142,2,2
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,527,2,3
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,140,2,4
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,1040,2,5
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,928,3,1
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,151,3,2
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,345,3,3
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,218,3,4
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,799,3,5
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,1099,4,1
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,221,4,2
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,387,4,3
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,665,4,4
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,1017,4,5
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,4,6
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,978,5,1
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,391,5,2
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,593,5,3
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,1485,5,4
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,1728,5,5
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,5,6
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,74,6,1
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,6,2
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,6,3
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,7,6,4
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,45,6,5
2015-01-01,1,Ciutat Vella,3,la Barceloneta,468,1,1
2015-01-01,1,Ciutat Vella,3,la Barceloneta,42,1,2
2015-01-01,1,Ciutat Vella,3,la Barceloneta,576,1,3
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1,4
2015-01-01,1,Ciutat Vella,3,la Barceloneta,80,1,5
2015-01-01,1,Ciutat Vella,3,la Barceloneta,1256,2,1
2015-01-01,1,Ciutat Vella,3,la Barceloneta,134,2,2
2015-01-01,1,Ciutat Vella,3,la Barceloneta,684,2,3
2015-01-01,1,Ciutat Vella,3,la Barceloneta,78,2,4
2015-01-01,1,Ciutat Vella,3,la Barceloneta,751,2,5
2015-01-01,1,Ciutat Vella,3,la Barceloneta,1973,3,1
2015-01-01,1,Ciutat Vella,3,la Barceloneta,143,3,2
2015-01-01,1,Ciutat Vella,3,la Barceloneta,396,3,3
2015-01-01,1,Ciutat Vella,3,la Barceloneta,166,3,4
2015-01-01,1,Ciutat Vella,3,la Barceloneta,668,3,5
2015-01-01,1,Ciutat Vella,3,la Barceloneta,1153,4,1
2015-01-01,1,Ciutat Vella,3,la Barceloneta,117,4,2
2015-01-01,1,Ciutat Vella,3,la Barceloneta,255,4,3
2015-01-01,1,Ciutat Vella,3,la Barceloneta,509,4,4
2015-01-01,1,Ciutat Vella,3,la Barceloneta,723,4,5
2015-01-01,1,Ciutat Vella,3,la Barceloneta,531,5,1
2015-01-01,1,Ciutat Vella,3,la Barceloneta,161,5,2
2015-01-01,1,Ciutat Vella,3,la Barceloneta,284,5,3
2015-01-01,1,Ciutat Vella,3,la Barceloneta,1080,5,4
2015-01-01,1,Ciutat Vella,3,la Barceloneta,1173,5,5
2015-01-01,1,Ciutat Vella,3,la Barceloneta,..,5,6
2015-01-01,1,Ciutat Vella,3,la Barceloneta,139,6,1
2015-01-01,1,Ciutat Vella,3,la Barceloneta,9,6,2
2015-01-01,1,Ciutat Vella,3,la Barceloneta,8,6,3
2015-01-01,1,Ciutat Vella,3,la Barceloneta,8,6,4
2015-01-01,1,Ciutat Vella,3,la Barceloneta,45,6,5
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",261,1,1
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,1,2
